,101,103,105,107,819,109,111,113,825,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173
Gilroy,6:1:00,7:31:00
San Martin,6:13:00,7:43:00
Morgan Hill,6:19:00,7:49:00
Blossom Hill,6:32:00,8:2:00
Capitol,6:38:00,8:8:00
San Jose Diridon,4:43:00,5:8:00,5:58:00,6:28:00,6:49:00,6:58:00,7:28:00,7:53:00,8:19:00,8:28:00,8:58:00,9:28:00,9:58:00,10:28:00,10:58:00,11:28:00,11:58:00,24:28:00,24:58:00,13:28:00,13:58:00,14:28:00,14:53:00,15:28:00,15:58:00,16:28:00,16:58:00,17:28:00,17:58:00,18:28:00,18:58:00,19:28:00,19:58:00,20:28:00,20:58:00,21:28:00,21:58:00,22:30:00,23:30:00
College Park,,,,,,,8:1:00,,,,,,,,,,,,,,15:1:00,,,,,,,,,,,,,,,,
Santa Clara,4:49:00,5:14:00,6:4:00,6:34:00,7:4:00,7:34:00,8:4:00,8:34:00,9:4:00,9:34:00,10:4:00,10:34:00,11:4:00,11:34:00,24:4:00,24:34:00,13:4:00,13:34:00,14:4:00,14:34:00,15:4:00,15:34:00,16:4:00,16:34:00,17:4:00,17:34:00,18:4:00,18:34:00,19:4:00,19:34:00,20:4:00,20:34:00,21:4:00,21:34:00,22:4:00,22:36:00,23:36:00
Lawrence,4:54:00,5:19:00,6:9:00,6:39:00,7:9:00,7:39:00,8:9:00,8:39:00,9:9:00,9:39:00,10:9:00,10:39:00,11:9:00,11:39:00,24:9:00,24:39:00,13:9:00,13:39:00,14:9:00,14:39:00,15:9:00,15:39:00,16:9:00,16:39:00,17:9:00,17:39:00,18:9:00,18:39:00,19:9:00,19:39:00,20:9:00,20:39:00,21:9:00,21:39:00,22:9:00,22:41:00,23:41:00
Sunnyvale,4:57:00,5:22:00,6:12:00,6:42:00,7:12:00,7:42:00,8:12:00,8:42:00,9:12:00,9:42:00,10:12:00,10:42:00,11:12:00,11:42:00,24:12:00,24:42:00,13:12:00,13:42:00,14:12:00,14:42:00,15:12:00,15:42:00,16:12:00,16:42:00,17:12:00,17:42:00,18:12:00,18:42:00,19:12:00,19:42:00,20:12:00,20:42:00,21:12:00,21:42:00,22:12:00,22:44:00,23:44:00
Mountain View,5:1:00,5:26:00,6:16:00,6:46:00,7:16:00,7:46:00,8:16:00,8:46:00,9:16:00,9:46:00,10:16:00,10:46:00,11:16:00,11:46:00,24:16:00,24:46:00,13:16:00,13:46:00,14:16:00,14:46:00,15:16:00,15:46:00,16:16:00,16:46:00,17:16:00,17:46:00,18:16:00,18:46:00,19:16:00,19:46:00,20:16:00,20:46:00,21:16:00,21:46:00,22:16:00,22:48:00,23:48:00
San Antonio,5:4:00,5:29:00,6:19:00,6:49:00,7:19:00,7:49:00,8:19:00,8:49:00,9:19:00,9:49:00,10:19:00,10:49:00,11:19:00,11:49:00,24:19:00,24:49:00,13:19:00,13:49:00,14:19:00,14:49:00,15:19:00,15:49:00,16:19:00,16:49:00,17:19:00,17:49:00,18:19:00,18:49:00,19:19:00,19:49:00,20:19:00,20:49:00,21:19:00,21:49:00,22:19:00,22:51:00,23:51:00
California Ave,5:7:00,5:32:00,6:22:00,6:52:00,7:22:00,7:52:00,8:22:00,8:52:00,9:22:00,9:52:00,10:22:00,10:52:00,11:22:00,11:52:00,24:22:00,24:52:00,13:22:00,13:52:00,14:22:00,14:52:00,15:22:00,15:52:00,16:22:00,16:52:00,17:22:00,17:52:00,18:22:00,18:52:00,19:22:00,19:52:00,20:22:00,20:52:00,21:22:00,21:52:00,22:22:00,22:54:00,23:54:00
Palo Alto,5:10:00,5:35:00,6:25:00,6:55:00,7:25:00,7:55:00,8:25:00,8:55:00,9:25:00,9:55:00,10:25:00,10:55:00,11:25:00,11:55:00,24:25:00,24:55:00,13:25:00,13:55:00,14:25:00,14:55:00,15:25:00,15:55:00,16:25:00,16:55:00,17:25:00,17:55:00,18:25:00,18:55:00,19:25:00,19:55:00,20:25:00,20:55:00,21:25:00,21:55:00,22:25:00,22:57:00,23:57:00
Menlo Park,5:13:00,5:38:00,6:28:00,6:58:00,7:28:00,7:58:00,8:28:00,8:58:00,9:28:00,9:58:00,10:28:00,10:58:00,11:28:00,11:58:00,24:28:00,24:58:00,13:28:00,13:58:00,14:28:00,14:58:00,15:28:00,15:58:00,16:28:00,16:58:00,17:28:00,17:58:00,18:28:00,18:58:00,19:28:00,19:58:00,20:28:00,20:58:00,21:28:00,21:58:00,22:28:00,23:0:00,12:0:00
Redwood City,5:18:00,5:43:00,6:33:00,7:3:00,7:33:00,8:3:00,8:34:00,9:3:00,9:33:00,10:3:00,10:33:00,11:3:00,11:33:00,24:3:00,24:33:00,13:3:00,13:33:00,14:3:00,14:33:00,15:3:00,15:34:00,16:3:00,16:33:00,17:3:00,17:33:00,18:3:00,18:33:00,19:3:00,19:33:00,20:3:00,20:33:00,21:3:00,21:33:00,22:3:00,22:33:00,23:5:00,12:5:00
San Carlos,5:22:00,5:47:00,6:37:00,7:7:00,7:37:00,8:7:00,8:37:00,9:7:00,9:37:00,10:7:00,10:37:00,11:7:00,11:37:00,24:7:00,24:37:00,13:7:00,13:37:00,14:7:00,14:37:00,15:7:00,15:37:00,16:7:00,16:37:00,17:7:00,17:37:00,18:7:00,18:37:00,19:7:00,19:37:00,20:7:00,20:37:00,21:7:00,21:37:00,22:7:00,22:37:00,23:9:00,12:9:00
Belmont,5:24:00,5:49:00,6:39:00,7:9:00,7:39:00,8:9:00,8:39:00,9:9:00,9:39:00,10:9:00,10:39:00,11:9:00,11:39:00,24:9:00,24:39:00,13:9:00,13:39:00,14:9:00,14:39:00,15:9:00,15:39:00,16:9:00,16:39:00,17:9:00,17:39:00,18:9:00,18:39:00,19:9:00,19:39:00,20:9:00,20:39:00,21:9:00,21:39:00,22:9:00,22:39:00,23:11:00,12:11:00
