,602,604,606,608,610,228,632,636,640,644,248,652,656,260,264,268,272,276,280,284
San Francisco,4:58:00,5:58:00,6:58:00,7:58:00,8:58:00,9:58:00,10:58:00,11:58:00,12:58:00,13:58:00,14:58:00,15:58:00,16:58:00,17:58:00,18:58:00,19:58:00,20:58:00,21:58:00,22:58:00,24:05:00
22nd Street,5:03:00,6:03:00,7:03:00,8:03:00,9:03:00,10:03:00,11:03:00,12:03:00,13:03:00,14:03:00,15:03:00,16:03:00,17:03:00,18:03:00,19:03:00,20:03:00,21:03:00,22:03:00,23:03:00,24:10:00
Bayshore,5:08:00,6:08:00,7:08:00,8:08:00,9:08:00,10:08:00,11:08:00,12:08:00,13:08:00,14:08:00,15:08:00,16:08:00,17:08:00,18:08:00,19:08:00,20:08:00,21:08:00,22:08:00,23:08:00,24:15:00
So San Francisco,5:15:00,6:15:00,7:15:00,8:15:00,9:15:00,10:15:00,11:15:00,12:15:00,13:15:00,14:15:00,15:15:00,16:15:00,17:15:00,18:15:00,19:15:00,20:15:00,21:15:00,22:15:00,23:15:00,24:22:00
San Bruno,5:19:00,6:19:00,7:19:00,8:19:00,9:19:00,10:19:00,11:19:00,12:19:00,13:19:00,14:19:00,15:19:00,16:19:00,17:19:00,18:19:00,19:19:00,20:19:00,21:19:00,22:19:00,23:19:00,24:26:00
Millbrae,5:24:00,6:24:00,7:24:00,8:24:00,9:23:00,10:24:00,11:24:00,12:24:00,13:24:00,14:24:00,15:24:00,16:24:00,17:24:00,18:24:00,19:24:00,20:24:00,21:24:00,22:24:00,23:24:00,24:31:00
Broadway,5:27:00,6:27:00,7:27:00,8:27:00,9:27:00,10:27:00,11:27:00,12:27:00,13:27:00,14:27:00,15:27:00,16:27:00,17:27:00,18:27:00,19:27:00,20:27:00,21:27:00,22:27:00,23:27:00,24:35:00
Burlingame,5:31:00,6:31:00,7:31:00,8:31:00,9:30:00,10:31:00,11:31:00,12:31:00,13:31:00,14:31:00,15:31:00,16:31:00,17:31:00,18:31:00,19:31:00,20:31:00,21:31:00,22:31:00,23:31:00,24:38:00
San Mateo,5:34:00,6:34:00,7:34:00,8:34:00,9:34:00,10:34:00,11:34:00,12:34:00,13:34:00,14:34:00,15:34:00,16:34:00,17:34:00,18:34:00,19:34:00,20:34:00,21:34:00,22:34:00,23:34:00,24:41:00
Hayward Park,5:37:00,6:37:00,7:37:00,8:37:00,9:37:00,10:37:00,11:37:00,12:37:00,13:37:00,14:37:00,15:37:00,16:37:00,17:37:00,18:37:00,19:37:00,20:37:00,21:37:00,22:37:00,23:37:00,24:45:00
Hillsdale,5:41:00,6:41:00,7:41:00,8:41:00,9:41:00,10:41:00,11:41:00,12:41:00,13:41:00,14:41:00,15:41:00,16:41:00,17:41:00,18:41:00,19:41:00,20:41:00,21:41:00,22:41:00,23:41:00,24:48:00
Belmont,5:44:00,6:44:00,7:44:00,8:44:00,9:44:00,10:44:00,11:44:00,12:44:00,13:44:00,14:44:00,15:44:00,16:44:00,17:44:00,18:44:00,19:44:00,20:44:00,21:44:00,22:44:00,23:44:00,24:52:00
San Carlos,5:48:00,6:48:00,7:48:00,8:48:00,9:48:00,10:48:00,11:48:00,12:48:00,13:48:00,14:48:00,15:48:00,16:48:00,17:48:00,18:48:00,19:48:00,20:48:00,21:48:00,22:48:00,23:48:00,24:55:00
Redwood City,5:52:00,6:52:00,7:52:00,8:52:00,9:52:00,10:52:00,11:52:00,12:52:00,13:52:00,14:52:00,15:52:00,16:52:00,17:52:00,18:52:00,19:52:00,20:52:00,21:52:00,22:52:00,23:52:00,24:59:00
Menlo Park,5:58:00,6:58:00,7:58:00,8:58:00,9:58:00,10:58:00,11:58:00,12:58:00,13:58:00,14:58:00,15:58:00,16:58:00,17:58:00,18:58:00,19:58:00,20:58:00,21:58:00,22:58:00,23:58:00,25:05:00
Palo Alto,6:02:00,7:02:00,8:02:00,9:02:00,10:02:00,11:02:00,12:02:00,13:02:00,14:02:00,15:02:00,16:02:00,17:02:00,18:02:00,19:02:00,20:02:00,21:02:00,22:02:00,23:02:00,24:02:00,25:09:00
California Ave,6:06:00,7:06:00,8:06:00,9:06:00,10:06:00,11:06:00,12:06:00,13:06:00,14:06:00,15:06:00,16:06:00,17:06:00,18:06:00,19:06:00,20:06:00,21:06:00,22:06:00,23:06:00,24:06:00,25:12:00
San Antonio,6:11:00,7:11:00,8:11:00,9:11:00,10:11:00,11:11:00,12:11:00,13:11:00,14:11:00,15:11:00,16:11:00,17:11:00,18:11:00,19:11:00,20:11:00,21:11:00,22:11:00,23:11:00,24:10:00,25:17:00
Mountain View,6:16:00,7:16:00,8:16:00,9:16:00,10:16:00,11:16:00,12:16:00,13:16:00,14:16:00,15:16:00,16:16:00,17:16:00,18:16:00,19:16:00,20:16:00,21:16:00,22:16:00,23:16:00,24:15:00,25:21:00
Sunnyvale,6:21:00,7:21:00,8:21:00,9:21:00,10:21:00,11:21:00,12:21:00,13:21:00,14:21:00,15:21:00,16:21:00,17:21:00,18:21:00,19:21:00,20:21:00,21:21:00,22:21:00,23:21:00,24:20:00,25:26:00
Lawrence,6:26:00,7:26:00,8:26:00,9:26:00,10:26:00,11:26:00,12:26:00,13:26:00,14:26:00,15:26:00,16:26:00,17:26:00,18:26:00,19:26:00,20:26:00,21:26:00,22:26:00,23:26:00,24:25:00,25:31:00
Santa Clara,6:32:00,7:32:00,8:32:00,9:32:00,10:32:00,11:32:00,12:32:00,13:32:00,14:32:00,15:32:00,16:32:00,17:32:00,18:32:00,19:32:00,20:32:00,21:32:00,22:32:00,23:32:00,24:31:00,25:37:00
San Jose Diridon,6:38:00,7:40:00,8:38:00,9:40:00,10:38:00,11:40:00,12:38:00,13:40:00,14:38:00,15:40:00,16:40:00,17:40:00,18:40:00,19:38:00,20:40:00,21:38:00,22:40:00,23:38:00,24:39:00,25:44:00
Tamien,,7:45:00,,9:45:00,,11:45:00,,13:45:00,,15:45:00,16:45:00,17:45:00,18:45:00,,20:45:00,,22:45:00,,24:44:00,25:49:00
Capitol,,,,,,,,,,,,,18:53:00,,,,,,,
Blossom Hill,,,,,,,,,,,,,18:59:00,,,,,,,
Morgan Hill,,,,,,,,,,,,,19:12:00,,,,,,,
San Martin,,,,,,,,,,,,,19:18:00,,,,,,,
Gilroy,,,,,,,,,,,,,19:31:00,,,,,,,
