,147,149,519,151,521,153,523,155,525,157,527,159,529,161,531,163,533,165,535,167,537,169,539,171,541,173,543,175,545,177,547,179,181,183
Gilroy,,,,,5:55:00,6:18:00,6:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Martin,,,,,6:04:00,6:27:00,7:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Hill,,,,,6:10:00,6:33:00,7:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blossom Hill,,,,,6:25:00,6:48:00,7:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol,,,,,6:31:00,6:54:00,7:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamien,4:15:00,5:03:00,,6:03:00,6:38:00,7:01:00,7:36:00,8:01:00,,9:01:00,,10:01:00,,11:01:00,,12:01:00,,13:01:00,,14:01:00,,14:59:00,,16:01:00,,17:01:00,,18:01:00,,19:01:00,,20:01:00,,21:01:00
San Jose Diridon,4:22:00,5:10:00,5:45:00,6:10:00,6:45:00,7:10:00,7:43:00,8:10:00,8:45:00,9:10:00,9:45:00,10:10:00,10:45:00,11:10:00,11:45:00,12:10:00,12:45:00,13:10:00,13:45:00,14:10:00,14:45:00,15:08:00,15:45:00,16:10:00,16:45:00,17:10:00,17:45:00,18:10:00,18:45:00,19:10:00,19:45:00,20:10:00,20:36:00,21:10:00
College Park,,,,,,,7:48:00,,,,,,,,,,,,,,,15:13:00,,,,,,,,,,,,
Santa Clara,4:28:00,5:16:00,5:52:00,6:16:00,6:52:00,7:16:00,7:52:00,8:16:00,8:52:00,9:16:00,9:52:00,10:16:00,10:52:00,11:16:00,23:52:00,12:16:00,12:52:00,13:16:00,13:52:00,14:16:00,14:52:00,15:16:00,15:52:00,16:16:00,16:52:00,17:16:00,17:52:00,18:16:00,18:52:00,19:16:00,19:52:00,20:16:00,20:42:00,21:16:00
Lawrence,4:35:00,5:23:00,,6:23:00,,7:23:00,,8:23:00,,9:23:00,,10:23:00,,11:23:00,,12:23:00,,13:23:00,,14:23:00,,15:22:00,,16:23:00,,17:23:00,,18:23:00,,19:23:00,,20:23:00,20:49:00,21:23:00
Sunnyvale,4:39:00,5:27:00,5:59:00,6:27:00,6:59:00,7:27:00,7:59:00,8:27:00,8:59:00,9:27:00,9:59:00,10:27:00,10:59:00,11:27:00,11:59:00,12:27:00,12:59:00,13:27:00,13:59:00,14:27:00,14:59:00,15:27:00,15:59:00,16:27:00,16:59:00,17:27:00,17:59:00,18:27:00,18:59:00,19:27:00,19:59:00,20:27:00,20:53:00,21:27:00
Mountain View,4:44:00,5:32:00,6:04:00,6:32:00,7:04:00,7:32:00,8:04:00,8:32:00,9:04:00,9:32:00,10:04:00,10:32:00,11:04:00,11:32:00,12:04:00,12:32:00,13:04:00,13:32:00,14:04:00,14:32:00,15:04:00,15:32:00,16:04:00,16:32:00,17:04:00,17:32:00,18:04:00,18:32:00,19:04:00,19:32:00,20:04:00,20:32:00,20:58:00,21:32:00
San Antonio,4:48:00,5:36:00,,6:36:00,,7:36:00,,8:36:00,,9:36:00,,10:36:00,,11:36:00,,12:36:00,,13:36:00,,14:36:00,,15:36:00,,16:36:00,,17:36:00,,18:36:00,,19:36:00,,20:36:00,21:02:00,21:36:00
California Ave,4:53:00,5:41:00,,6:41:00,,7:41:00,,8:41:00,,9:41:00,,10:41:00,,11:41:00,,12:41:00,,13:41:00,,14:41:00,,15:41:00,,16:41:00,,17:41:00,,18:41:00,,19:41:00,,20:41:00,21:07:00,21:41:00
Palo Alto,4:57:00,5:45:00,6:12:00,6:45:00,7:12:00,7:45:00,8:12:00,8:45:00,9:12:00,9:45:00,10:12:00,10:45:00,11:12:00,11:45:00,12:12:00,12:45:00,13:12:00,13:45:00,14:12:00,14:45:00,15:12:00,15:45:00,16:12:00,16:45:00,17:12:00,17:45:00,18:12:00,18:45:00,19:12:00,19:45:00,20:12:00,20:45:00,21:11:00,21:45:00
Menlo Park,5:00:00,5:48:00,6:15:00,6:48:00,7:15:00,7:48:00,8:15:00,8:48:00,9:15:00,9:48:00,10:15:00,10:48:00,11:15:00,11:48:00,12:15:00,12:48:00,13:15:00,13:48:00,14:15:00,14:48:00,15:15:00,15:48:00,16:15:00,16:48:00,17:15:00,17:48:00,18:15:00,18:48:00,19:15:00,19:48:00,20:15:00,20:48:00,21:14:00,21:48:00
Redwood City,5:06:00,5:54:00,6:23:00,6:54:00,7:23:00,7:54:00,8:23:00,8:54:00,9:23:00,9:54:00,10:23:00,10:54:00,11:23:00,11:54:00,12:23:00,12:54:00,13:23:00,13:54:00,14:23:00,14:54:00,15:23:00,15:54:00,16:23:00,16:54:00,17:23:00,17:54:00,18:23:00,18:54:00,19:23:00,19:54:00,20:23:00,20:54:00,21:22:00,21:54:00
San Carlos,5:11:00,5:59:00,,6:59:00,,7:59:00,,8:59:00,,9:59:00,,10:59:00,,11:59:00,,12:59:00,,13:59:00,,14:59:00,,15:58:00,,16:59:00,,17:59:00,,18:59:00,,19:59:00,,20:59:00,21:27:00,21:59:00
Belmont,5:14:00,6:02:00,,7:02:00,,8:02:00,,9:02:00,,10:02:00,,11:02:00,,12:02:00,,13:02:00,,14:02:00,,15:02:00,,16:02:00,,17:02:00,,18:02:00,,19:02:00,,20:02:00,,21:02:00,21:30:00,10:02:00
Hillsdale,5:18:00,6:06:00,6:30:00,7:06:00,7:30:00,8:06:00,8:30:00,9:06:00,9:30:00,10:06:00,10:30:00,11:06:00,11:30:00,12:06:00,12:30:00,13:06:00,13:30:00,14:06:00,14:30:00,15:06:00,15:30:00,16:06:00,16:30:00,17:06:00,17:30:00,18:06:00,18:30:00,19:06:00,19:30:00,20:06:00,20:30:00,21:06:00,21:34:00,22:06:00
