,629,633,225,229,233,237,241,245,249,253,257,261,265,269,637
Tamien,,7:45:00,9:05:00,10:05:00,11:05:00,,13:05:00,,15:05:00,,17:05:00,,19:05:00,,21:01:00
San Jose Diridon,6:17:00,7:52:00,9:12:00,10:12:00,11:12:00,12:12:00,13:12:00,14:12:00,15:12:00,16:12:00,17:12:00,18:12:00,19:12:00,20:12:00,21:10:00
Santa Clara,6:23:00,7:58:00,9:18:00,10:18:00,11:18:00,12:18:00,13:18:00,14:18:00,15:18:00,16:18:00,17:18:00,18:18:00,19:18:00,20:18:00,21:16:00
Lawrence,6:29:00,8:04:00,9:24:00,10:24:00,11:24:00,24:24:00,13:24:00,14:24:00,15:24:00,16:24:00,17:24:00,18:24:00,19:24:00,20:24:00,21:23:00
Sunnyvale,6:33:00,8:08:00,9:28:00,10:28:00,11:28:00,12:28:00,13:28:00,14:28:00,15:28:00,16:28:00,17:28:00,18:28:00,19:28:00,20:28:00,21:27:00
Mountain View,6:38:00,8:13:00,9:33:00,10:33:00,11:33:00,12:33:00,13:33:00,14:33:00,15:33:00,16:33:00,17:33:00,18:33:00,19:33:00,20:33:00,21:31:00
Mountain View,6:48:00,8:23:00,9:43:00,10:43:00,11:43:00,12:43:00,13:43:00,14:43:00,15:43:00,16:43:00,17:43:00,18:43:00,19:43:00,20:43:00,21:41:00
San Antonio,7:02:00,8:37:00,9:57:00,10:57:00,11:57:00,12:57:00,13:57:00,14:57:00,15:57:00,16:57:00,17:57:00,18:57:00,19:57:00,20:57:00,21:55:00
California Ave,7:12:00,8:47:00,10:07:00,11:07:00,12:07:00,13:07:00,14:07:00,15:07:00,16:07:00,17:07:00,18:07:00,19:07:00,20:07:00,21:07:00,22:05:00
Palo Alto,7:20:00,8:55:00,10:15:00,11:15:00,12:15:00,13:15:00,14:15:00,15:15:00,16:15:00,17:15:00,18:15:00,19:15:00,20:15:00,21:15:00,22:13:00
Menlo Park,7:24:00,8:59:00,10:19:00,11:19:00,12:19:00,13:19:00,14:19:00,15:19:00,16:19:00,17:19:00,18:19:00,19:19:00,20:19:00,21:19:00,22:17:00
Redwood City,7:39:00,9:14:00,10:34:00,11:34:00,24:34:00,25:34:00,26:34:00,15:34:00,16:34:00,17:34:00,18:34:00,19:34:00,20:34:00,21:34:00,22:32:00
San Carlos,7:49:00,9:24:00,10:44:00,11:44:00,12:44:00,13:44:00,14:44:00,15:44:00,16:44:00,17:44:00,18:44:00,19:44:00,20:44:00,21:44:00,22:42:00
Belmont,7:55:00,9:30:00,10:50:00,11:50:00,12:50:00,13:50:00,14:50:00,15:50:00,16:50:00,17:50:00,18:50:00,19:50:00,20:50:00,21:50:00,22:48:00
Belmont,8:09:00,10:04:00,11:04:00,12:04:00,13:04:00,14:04:00,15:04:00,16:04:00,17:04:00,18:04:00,19:04:00,20:04:00,21:04:00,22:04:00,23:10:00
Hillsdale,8:12:00,10:08:00,11:08:00,12:08:00,13:08:00,14:08:00,15:08:00,16:08:00,17:08:00,18:08:00,19:08:00,20:08:00,21:08:00,22:08:00,23:14:00
Hayward Park,8:15:00,10:11:00,11:11:00,12:11:00,13:11:00,14:11:00,15:11:00,16:11:00,17:11:00,18:11:00,19:11:00,20:11:00,21:11:00,22:11:00,23:17:00
San Mateo,8:19:00,10:15:00,11:15:00,12:15:00,13:15:00,14:15:00,15:15:00,16:15:00,17:15:00,18:15:00,19:15:00,20:15:00,21:15:00,22:15:00,23:21:00
Burlingame,8:22:00,10:19:00,11:19:00,12:19:00,13:19:00,14:19:00,15:19:00,16:19:00,17:19:00,18:19:00,19:19:00,20:19:00,21:19:00,22:19:00,23:25:00
Broadway,8:25:00,10:22:00,11:22:00,12:22:00,13:22:00,14:22:00,15:22:00,16:22:00,17:22:00,18:22:00,19:22:00,20:22:00,21:22:00,22:22:00,23:28:00
Millbrae,8:29:00,10:26:00,11:26:00,12:26:00,13:26:00,14:26:00,15:26:00,16:26:00,17:26:00,18:26:00,19:26:00,20:26:00,21:26:00,22:26:00,23:32:00
San Bruno,8:34:00,10:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:37:00
So San Francisco,8:38:00,10:34:00,11:34:00,12:34:00,13:34:00,14:34:00,15:34:00,16:34:00,17:34:00,18:34:00,19:34:00,20:34:00,21:34:00,22:34:00,23:41:00
Bayshore,8:44:00,10:41:00,11:41:00,12:41:00,13:41:00,14:41:00,15:41:00,16:41:00,17:41:00,18:41:00,19:41:00,20:41:00,21:41:00,22:41:00,23:47:00
22nd Street,8:50:00,10:46:00,11:46:00,12:46:00,13:46:00,14:46:00,15:46:00,16:46:00,17:46:00,18:46:00,19:46:00,20:46:00,21:46:00,22:46:00,23:53:00
San Francisco,8:56:00,10:52:00,11:53:00,12:53:00,13:52:00,14:52:00,15:52:00,16:52:00,17:52:00,18:52:00,19:52:00,20:52:00,21:52:00,22:52:00,23:59:00
